"Product Name","Average Rating"
"Electric Kettle","5.00"
"Screen Protector","5.00"
"Storage Shelf","5.00"
"Throw Pillows","5.00"
"Food Processor","4.50"
"Phone Grip","4.50"
"Smartphone Case","4.00"
"Air Purifier","4.00"
"Microphone","4.00"
"WiFi Router","4.00"
"File Cabinet","4.00"
"Wireless Charger","4.00"
"Gaming Mouse Pad","4.00"
"Power Strip","3.50"
"Smart Watch","3.50"
"Portable Charger","3.50"
"Keyboard Wrist Rest","3.00"
"Wireless Earbuds","3.00"
"Document Scanner","3.00"
"Bookshelf","3.00"
